v4_1,Data Marking,years-quarters-months,Time,administrative-geography,Geography,seasonal-adjustment,SeasonalAdjustment,construction-series-type,SeriesType,construction-classifications,TypeOfWork
1671.0,,2018-q2,2018 - Q2,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
2951.0,,2018-q2,2018 - Q2,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
31560.0,,2018-q2,2018 - Q2,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
11952.0,,2018-q2,2018 - Q2,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
2340.0,,2018-q2,2018 - Q2,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
8507.0,,2018-q2,2018 - Q2,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
622.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
2120.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-3,Infrastructure new work
2891.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
16757.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1,All work
2868.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-2,Private commercial new work
2148.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-2,Private housing R&M
793.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
3809.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-2,Private new housing
979.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
5832.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1,All R&M
10925.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
4431.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
527.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-1,Private industrial new work
2941.0,,2019-jul,2019 - Jul,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1,Total housing R&M
2779.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
2246.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-1,Private industrial new work
10773.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-2,Private commercial new work
16943.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1,All R&M
1091.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
8801.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
28009.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
8149.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1,Total housing R&M
5502.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-2,Private housing R&M
8213.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-2,Private new housing
9280.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
2664.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
45038.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1,All work
2952.0,,2007-q1,2007 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-3,Infrastructure new work
511.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
1691.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-2,Private housing R&M
2769.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-2,Private commercial new work
8629.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
2509.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1,Total housing R&M
4948.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1,All R&M
1886.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-2,Private new housing
819.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
2439.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
1429.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
378.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-1,Private industrial new work
2397.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
13577.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1,All work
1657.0,,2011-aug,2011 - Aug,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-3,Infrastructure new work
10078.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
15557.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1,All work
508.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
3078.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-2,Private new housing
470.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-1,Private industrial new work
2951.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-2,Private commercial new work
2082.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-2,Private housing R&M
3586.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
1179.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
2607.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
5478.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1,All R&M
2871.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1,Total housing R&M
789.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
1892.0,,2016-nov,2016 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-3,Infrastructure new work
2840.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-2,Private commercial new work
16622.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1,All work
521.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-1,Private industrial new work
762.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
10835.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
3634.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-2,Private new housing
4354.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
720.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
2141.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-3,Infrastructure new work
2166.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-2,Private housing R&M
5786.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1,All R&M
979.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
2927.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1,Total housing R&M
2859.0,,2019-jun,2019 - Jun,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
3377.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-3,Infrastructure new work
3269.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
8760.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
